,Unnamed: 0,text,label,lang
0,1067,"@luchotebar  Cuando sea un independentista con juego limpio, le invitaré a comer.",0,es
1,1735,"Si discrepas de lo progre en #BoicotALosGoya eres un fascista, miembro del heteropatriarcado opresor y puede que asesinaras a Kennedy.",0,es
2,1931,"Soy una taza, una tetera, un plato hondo, un subnormal https://t.co/lbDi57BNhL",0,es
3,4264,Esperando reacciones de los perroflautas de #podemos https://t.co/Y7T4j9jQd3,1,es
4,3657,Me parto con los fachas de Twitter que apoyan a tope a los kurdos de Rojava sin tener ni puta idea de lo que significa eso políticamente.,1,es
5,5277,"@esparver Un canari LeT amb la bandera europea. Un subnormal, vaja.",1,es
6,103,Eso lo acaba de decir mi Cari por wassap.  Capela maricón,0,es
7,4267,Los grandes multimedia gringos azuzan el golpe de Estado anti-Trump https://t.co/zjC49Z7FEb https://t.co/FcwYla5b15,0,es
8,5506,Las diez ciudades más importantes de Cataluña son de C's. Ojo a la ruralización del movimiento separatista,0,es
9,3990,@Felipeward mal por apoyar bus transfobico y organizaciones extremistas q desinforman y promueven odio. 'Ideologia de genero' no existe!,0,es
10,5795,@JordiWild en % de votos la mayoría no es independentista.. xD es la Ley electoral  la que ha favorecido a los independentistas igual que favoreció a la  corruPPción en otras elecciones xD,0,es
11,3580,Esto es un gilipollas homófobo llorando por una imagen de un niño dándole un pico a su padre. https://t.co/3ajWrMYDRy,0,es
12,33,@7Josean7 @Zurine3 @MiGorrotxategi @RoberUriarte @MonederoJC los dos sois estupendas y @Zurine3 ha defendido el feminismo y la dignidad,0,es
13,5564,Dar charlas estaba bien pero a Travelo le preocupaba su actitud.,0,es
14,5898,Tiene su coña que los votos del Sí el #1O sean clavados a los del bloque independentista hoy.  #EleccionesCataluña,0,es
15,5707,"Los discursos d los partidos independentistas hablando aun d la mayoria catalana como independentista cuando en votos es todo lo contrario... no es manipular! Discursos d guerra, continuan con el fanatismo y el supremacismo q los caracteriza. El futuro se ve ⚫️. Es triste! #21d",0,es
16,3002,@R3dWarri0r llega un monento en el que se calla el analfabeto y empieza a hablar el fascista.,0,es
17,2734,"Hay que ser subnormal para que te empaten este partido. Subnormal. A sufrir, a sufrir, a sufrir y a sufrir. ¿Sorprende? NO",1,es
18,4272,@DalasReview coño bloqueame ya no subnormal??,1,es
19,3083,"@LineaDeKaos @gatalopez_ @prepuciosalamar @LluviaKaotika No, aquí el idioma de los gringos de mierda no usamos",1,es
20,2028,joder es verdad gracias por abrirme los ojos CANCELAD EL FEMINISMO NIÑAS YA NO HACE FALTA https://t.co/SXMTTB7k90,0,es
