,Unnamed: 0,text,label,lang
0,760,t'es un peu un gauchiste mais j'aime bien tes tweets et tes retweets — je ne sais pas quoi répondre @url,0,fr
1,838,l'attardé de moroni,0,fr
2,78,@user @user @user @user tu prefere la violence libre à toi. nous préfère qu il fin… @url,0,fr
3,967,@user oui c est vrai... les lyonnais ne sont pas racistes ils aiment bien les arabes regardez...@url,0,fr
4,913,nouveau - berne : 1500 personnes à une marche contre l'avortement - #suisse #ivg #avortament #bern #ber... @url,0,fr
5,578,@user @user @user je suis moi même blanc et toute vie j ai traîné avec des renois même si je… @url,0,fr
6,933,quand demande un gauchiste d'argumenter  @url,0,fr
7,152,j'suis pas un gauchiste mais la il 100% raison. c'est inadmissible @user les poissons ont besoin de plus @url,0,fr
8,326,@user je suis origine purement berbèreje retrouve avec un nom et prénom purement arabes! Ça veut tout dire en marre .,0,fr
9,714,pour ceux qui douteraient du caractère complotiste et de l'antisionisme délirant d'abdelrahim ali voici un thread… @url,0,fr
10,463,sous la direction de genghis khan l’immense empire mongol utilisé un système postal avancé à travers l’empire. #uoim2,0,fr
11,528,@user @user l’islamisation en marche ! la pauvreté généralisée partout en france.,1,fr
12,964,@user les rebeus tu baises leurs frangines ils sont déboussolés,1,fr
13,647,@user @user @user @user lol la bonne vielle tactique gauchiste! répondre par une questi… @url,0,fr
14,746,Ça m’fume les renois quand ils rigolent ils sont obligés de tapé un 200m sprint @url,0,fr
15,1036,@user @user @user @user @user @user @user des noirs sûrement pas des rebeus c possible.,1,fr
16,663,@user @user @user c...est vous qui parlez de vue gauchiste avilissante. pas moi. vous associez cette... @url,0,fr
17,334,@user quand je suis parti 4 mois en afrique cette année je suis rentré et chienne était toute heureuse donc t’en fais pas,0,fr
18,204,pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url,0,fr
19,1131,@user @user je suis gauchiste et je reconnais pas du tout dans son nous les gauchistesnalle... @url,0,fr
20,161,france :jeudi prochain à la librairie résistances : « les naufragés. l’odyssée des migrants africains etienne du… @url,0,fr
21,200,@user @user @user Ça change quoi les chiffres hein ? trois mille migrants ou trois millions de migran… @url,0,fr
22,77,kevin il se bat avec tous les rebeus avec une moustache pr mieux froisser berka #verité,1,fr
