,Unnamed: 0,text,label,lang
0,4494,"RT @anonymized_account rozjebala się jak Rosja na mapie i siedzi kurwa
",0,pl
1,5330,"@anonymized_account Ty debili, zapytaj się swojego premiera gdzie kwiatki dzisiaj składał
",0,pl
2,8654,"@anonymized_account @anonymized_account @anonymized_account Było. W każdych zimowych wiadomościach od X lat :)
",0,pl
3,4440,"@anonymized_account Znaczy nie normalne, ale jest
",0,pl
4,8408,"Jak będziesz tak walczył to zostaniesz @anonymized_account roku w 2090 \nhttps://t.co/PQDsUHpCch
",0,pl
5,9221,"potrzebuję czerwonych szpilek, to byłby 100 pkt do pewności siebie
",0,pl
6,5816,"@anonymized_account Skurwysyn liczy na kolejną kasę???
",0,pl
7,9512,"@anonymized_account Moim zdaniem to jesteś sfrustrowanym człowieczkiem przez pomyłkę kiedyś nazwanym dziennikarzem.
",1,pl
8,8851,"@anonymized_account Dlaczego nikt nie mówi o „Witches of East End”? Kocham mocniutko
",0,pl
9,3637,"RT @anonymized_account @anonymized_account W końcu ktoś ma te same przypuszczenia! Bo jak się pytam to nikt nie wie kto to, ta Natalka😂😂😂
",0,pl
10,4918,"@anonymized_account @anonymized_account @anonymized_account Jak wygrywaliście to była gadka, że zdobywacie 1,5 pkt.
",0,pl
11,5208,"gdzie są jakieś fajne braletki koronkowe?
",0,pl
12,263,"@anonymized_account E tam! To z miłości do Łodzi😁. I przyjdzie do PiS😁😁
",0,pl
13,7974,"@anonymized_account Jestem chętny :) w weekend kupię fifke to można zagrać pare meczyków to zobacze jaki poziom ligi xD
",0,pl
14,6315,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account ,publicznie się chwali że chodził do burdelu za swoje pieniądze. Kozak
",0,pl
15,347,"@anonymized_account Straszny gangster jak po wolności chodzi
",0,pl
16,9232,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account Już nie róbcie z gościa kaleki 😉
",0,pl
17,6344,"@anonymized_account Nie martw się, to nie jest wcale takie łatwe, trzeba mieć tez dużo szczęścia w tym wszystkim 💕
",0,pl
18,5687,"@anonymized_account Czy to twoja @anonymized_account ??😁😁 Hehehehehe😁
",0,pl
19,9108,"Banda patafianów z Caballero na czele na boisku, a zmieniamy Aguero na Higuaina. Drugi do zmiany Pavon. 😂
",1,pl
20,3797,"@anonymized_account Tak, to amfora szyjowa panatenajska o pojemności podróżnej. Czyli, że do samolotu można.
",0,pl
